include,purpose,use.lw,use.l,tech,batch,id,tin.id,photo.id,date,time,station,tx,stage,len.fr.bin,len.fr,len.p2w,len.p2m,raw.wt,c.wt,len,len.bin,notes,
TRUE,LW,TRUE,FALSE,Kate,NA,51,NA,NA,NA,NA,NA,Fresh,Male,15,15.7,NA,NA,0.00880,0.00926,15.7,15,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,52,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.4,NA,0.00880,0.00927,14.4,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,53,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.1,NA,0.00920,0.00967,14.1,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,54,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,16.5,NA,0.01290,0.01336,16.5,15,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,55,NA,NA,NA,NA,NA,Fresh,Male,13,14.3,NA,NA,0.00440,0.00486,14.3,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,56,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,12.8,NA,0.00630,0.00676,12.8,11,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,57,NA,NA,NA,NA,NA,Fresh,Fem,13,14.7,NA,NA,0.00650,0.00696,14.7,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,58,NA,NA,NA,NA,NA,Fresh,Fem,13,14.0,NA,NA,0.00410,0.00456,14.0,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,59,NA,NA,NA,NA,NA,Fresh,Male,11,12.2,NA,NA,0.00270,0.00317,12.2,11,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,60,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.3,NA,0.00830,0.00877,13.3,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,61,NA,NA,NA,NA,NA,Fresh,Fem,15,15.1,NA,NA,0.00650,0.00696,15.1,15,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,62,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,7.9,NA,0.00000,0.00047,7.9,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,63,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,7.5,NA,0.00070,0.00116,7.5,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,64,NA,NA,NA,NA,NA,Fresh,Juv,7,7.7,NA,NA,0.00070,0.00116,7.7,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,65,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,6.0,NA,0.00070,0.00117,6.0,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,66,NA,NA,NA,NA,NA,Fresh,Juv,5,5.8,NA,NA,0.00030,0.00076,5.8,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,67,NA,NA,NA,NA,NA,Fresh,Juv,7,7.5,NA,NA,0.00070,0.00116,7.5,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,68,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,7.2,NA,0.00070,0.00116,7.2,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,69,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,7.4,NA,0.00080,0.00126,7.4,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,70,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,6.0,NA,0.00040,0.00086,6.0,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,71,NA,NA,NA,NA,NA,Fresh,Juv,7,8.6,NA,NA,0.00080,0.00127,8.6,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,72,NA,NA,NA,NA,NA,Fresh,Juv,7,7.6,NA,NA,0.00060,0.00106,7.6,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,73,NA,NA,NA,NA,NA,Fresh,Juv,5,5.6,NA,NA,0.00000,0.00047,5.6,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,74,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,7.2,NA,0.00080,0.00127,7.2,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,75,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,5.3,NA,0.00020,0.00067,5.3,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,76,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,6.1,NA,0.00010,0.00056,6.1,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,77,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,8.2,NA,0.00180,0.00227,8.2,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,78,NA,NA,NA,NA,NA,Fresh,Juv,5,6.7,NA,NA,0.00070,0.00116,6.7,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,79,NA,NA,NA,NA,NA,Fresh,Juv,7,7.1,NA,NA,0.00040,0.00087,7.1,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,80,NA,NA,NA,NA,NA,Fresh,Juv,5,5.9,NA,NA,-0.00030,0.00017,5.9,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,81,NA,NA,NA,NA,NA,Fresh,Juv,5,6.7,NA,NA,0.00000,0.00047,6.7,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,82,NA,NA,NA,NA,NA,Fresh,Juv,5,5.9,NA,NA,0.00040,0.00086,5.9,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,83,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,6.7,NA,0.00070,0.00117,6.7,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,84,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,8.4,NA,0.00140,0.00187,8.4,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,85,NA,NA,NA,NA,NA,Fresh,Male,15,15.4,NA,NA,0.00500,0.00546,15.4,15,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,86,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,6.3,NA,0.00060,0.00107,6.3,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,87,NA,NA,NA,NA,NA,Fresh,Juv,7,7.1,NA,NA,0.00020,0.00066,7.1,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,88,NA,NA,NA,NA,NA,Fresh,Juv,7,8.5,NA,NA,0.00090,0.00137,8.5,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,89,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,8.6,NA,0.00160,0.00207,8.6,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,90,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,8.3,NA,0.00130,0.00177,8.3,7,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,91,NA,NA,NA,NA,NA,Fresh,Juv,3,4.2,NA,NA,0.00010,0.00056,4.2,3,"excluded (weighs too much for length); pooled (avg of 3.7,4.2,4.7 mm)",
TRUE,LW,TRUE,FALSE,Kate,NA,92,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,4.0,NA,0.00017,0.00063,4.0,3,"pooled (avg of 3.3,4.3,4.5 mm)",
TRUE,LW,TRUE,FALSE,Kate,NA,93,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,13.9,NA,0.00880,0.00927,13.9,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,94,NA,NA,NA,NA,NA,Fresh,Male,13,14.0,NA,NA,0.00680,0.00726,14.0,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,95,NA,NA,NA,NA,NA,Fresh,Male,13,14.7,NA,NA,0.00580,0.00627,14.7,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,96,NA,NA,NA,NA,NA,Fresh,Male,13,14.2,NA,NA,0.00440,0.00486,14.2,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,97,NA,NA,NA,NA,NA,Fresh,Fem,15,15.7,NA,NA,0.00800,0.00847,15.7,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,98,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.4,NA,0.01020,0.01067,14.4,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,99,NA,NA,NA,NA,NA,Fresh,Male,13,14.5,NA,NA,0.00740,0.00787,14.5,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,100,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.2,NA,0.00720,0.00767,13.2,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,101,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,12.6,NA,0.00560,0.00607,12.6,11,NA
TRUE,LW,TRUE,FALSE,Kate,NA,102,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.3,NA,0.00780,0.00827,14.3,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,103,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.8,NA,0.00970,0.01017,14.8,13,NA
FALSE,LW,TRUE,FALSE,Kate,NA,104,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,12.2,NA,NA,NA,12.2,11,weights not recorded for some reason
TRUE,LW,TRUE,FALSE,Kate,NA,105,NA,NA,NA,NA,NA,Fresh,Male,15,15.8,NA,NA,0.00950,0.00997,15.8,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,106,NA,NA,NA,NA,NA,Fresh,Fem,11,12.8,NA,NA,0.00430,0.00476,12.8,11,NA
TRUE,LW,TRUE,FALSE,Kate,NA,107,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.5,NA,0.00790,0.00837,14.5,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,108,NA,NA,NA,NA,NA,Fresh,Fem,13,14.6,NA,NA,0.00800,0.00847,14.6,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,109,NA,NA,NA,NA,NA,Fresh,Fem,15,15.2,NA,NA,0.00490,0.00537,15.2,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,110,NA,NA,NA,NA,NA,Fresh,Fem,13,13.8,NA,NA,0.00450,0.00496,13.8,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,111,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.4,NA,0.00780,0.00827,14.4,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,112,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.0,NA,0.00820,0.00866,14.0,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,113,NA,NA,NA,NA,NA,Fresh,Fem,15,15.3,NA,NA,0.00490,0.00537,15.3,15,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,114,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.0,NA,NA,NA,14.0,13,weights not recorded for some reason,
TRUE,LW,TRUE,FALSE,Kate,NA,115,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.1,NA,0.00960,0.01006,14.1,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,116,NA,NA,NA,NA,NA,Fresh,Male,13,13.6,NA,NA,0.00370,0.00417,13.6,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,117,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.6,NA,0.00960,0.01006,14.6,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,118,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.1,NA,0.00730,0.00777,14.1,13,NA,
